district,id,incumbent_name,inc_party,pres_24,leading_party,proj_margin,caucus_margin,win_pct
1,sldl:1,Pat McGeehan,R,0.5378,R,0.3741,0.3741,0.9999
2,sldl:2,Mark Zatezalo,R,0.3856,R,0.3186,0.3186,0.9996
3,sldl:3,Jimmy Willis,R,0.4359,R,0.3418,0.3418,0.9998
4,sldl:4,OPEN,R,0.3339,R,0.2959,0.2959,0.9993
5,sldl:5,OPEN,D,0.1248,R,0.043,0.043,0.7008
6,sldl:6,Jeff Stephens,R,0.4137,R,0.1554,0.1554,0.96
7,sldl:7,Chuck Sheedy,R,0.5854,R,1.0,1.0,1.0
8,sldl:8,Bill Bell,R,0.6729,R,1.0,1.0,1.0
9,sldl:9,OPEN,R,0.6703,R,1.0,1.0,1.0
10,sldl:10,Bill Anderson,R,0.479,R,0.4464,0.4464,1.0
11,sldl:11,OPEN,R,0.2991,R,0.254,0.254,0.9971
12,sldl:12,Vernon Criss,R,0.2703,R,0.2405,0.2405,0.995
13,sldl:13,Scot Heckert,R,0.4937,R,0.4627,0.4627,1.0
14,sldl:14,Dave Foggin,R,0.5886,R,0.4913,0.4913,1.0
15,sldl:15,Erica Moore,R,0.5721,R,1.0,1.0,1.0
16,sldl:16,Joe Parsons,R,0.6103,R,0.561,0.561,1.0
17,sldl:17,Jonathan Pinson,R,0.5301,R,0.4827,0.4827,1.0
18,sldl:18,Jim Butler,R,0.566,R,0.3956,0.3956,1.0
19,sldl:19,Kathie Hess Crouse,R,0.5191,R,0.4694,0.4694,1.0
20,sldl:20,Sarah Drennan,R,0.4239,R,0.3552,0.3552,1.0
21,sldl:21,OPEN,R,0.4473,R,0.3558,0.3558,1.0
22,sldl:22,Daniel Linville,R,0.5116,R,1.0,1.0,1.0
23,sldl:23,Evan Worrell,R,0.4326,R,0.4097,0.4097,1.0
24,sldl:24,Patrick Lucas,R,0.126,R,0.0656,0.0656,0.7852
25,sldl:25,Sean Hornbuckle,D,-0.3092,D,1.0,-1.0,1.0
26,sldl:26,Matthew Rohrbach,R,0.1473,R,1.0,1.0,1.0
27,sldl:27,OPEN,R,0.3191,R,0.0333,0.0333,0.6574
28,sldl:28,Ryan Browning,R,0.5533,R,0.5039,0.5039,1.0
29,sldl:29,Corby Dillon,R,0.7288,R,0.294,0.294,0.9992
30,sldl:30,Jeff Eldridge,R,0.6161,R,0.4213,0.4213,1.0
31,sldl:31,Margitta Mazzocchi,R,0.6912,R,0.4756,0.4756,1.0
32,sldl:32,Josh Holstein,R,0.5616,R,0.4165,0.4165,1.0
33,sldl:33,Jordan Bridges,R,0.6437,R,0.5946,0.5946,1.0
34,sldl:34,OPEN,R,0.7209,R,0.6236,0.6236,1.0
