district,id,incumbent_name,inc_party,pres_24,leading_party,proj_margin,caucus_margin,win_pct
1,sldu:1A,Laura Chapman,R,0.3921,R,0.0954,0.0954,0.8793
2,sldu:2A,OPEN,R,0.4163,R,0.3602,0.3602,0.9999
3,sldu:3A,Mike Azinger,R,0.4801,R,0.3117,0.3117,0.9995
4,sldu:4A,Amy Grady,R,0.4979,R,0.4522,0.4522,1.0
5,sldu:5A,OPEN,D,0.2473,R,0.1295,0.1295,0.9399
6,sldu:6A,Mark Maynard,R,0.6226,R,0.4524,0.4524,1.0
7,sldu:7A,Zach Maynard,R,0.5633,R,0.2097,0.2097,0.99
8,sldu:8A,Kevan Bartlett,R,0.2742,R,0.1114,0.1114,0.9154
9,sldu:9A,Rollan Roberts,R,0.5566,R,0.5136,0.5136,1.0
10,sldu:10A,Vince Deeds,R,0.4998,R,0.2346,0.2346,0.9943
11,sldu:11A,Bill Hamilton,R,0.5415,R,0.5044,0.5044,1.0
12,sldu:12A,Ben Queen,R,0.4712,R,0.5531,0.5531,1.0
13,sldu:13A,Mike Oliverio,R,0.056,D,0.0548,-0.0548,0.756
14,sldu:14A,Jay Taylor,R,0.5945,R,0.4914,0.4914,1.0
15,sldu:15A,Darren Thorne,R,0.4598,R,0.431,0.431,1.0
16,sldu:16A,Jason Barrett,R,0.2366,R,1.0,1.0,1.0
17,sldu:17A,Tom Takubo,R,0.2127,R,0.1334,0.1334,0.9466
1,sldu:1B,Ryan Weld,R,0.3921,R,1.0,1.0,1.0
2,sldu:2B,Chris Rose,R,0.4163,R,1.0,1.0,1.0
3,sldu:3B,Trenton Barnhart,R,0.4801,R,1.0,1.0,1.0
4,sldu:4B,Eric Tarr,R,0.4979,R,1.0,1.0,1.0
5,sldu:5B,Scott Fuller,R,0.2473,R,1.0,1.0,1.0
6,sldu:6B,Craig Hart,R,0.6226,R,1.0,1.0,1.0
7,sldu:7B,Rupie Phillips,R,0.5633,R,1.0,1.0,1.0
8,sldu:8B,Glenn Jeffries,R,0.2742,R,1.0,1.0,1.0
9,sldu:9B,Brian Helton,R,0.5566,R,1.0,1.0,1.0
10,sldu:10B,Jack Woodrum,R,0.4998,R,1.0,1.0,1.0
11,sldu:11B,Robbie Morris,R,0.5415,R,1.0,1.0,1.0
12,sldu:12B,Patrick Martin,R,0.4712,R,1.0,1.0,1.0
13,sldu:13B,Joey Garcia,D,0.056,D,1.0,-1.0,1.0
14,sldu:14B,Randy Smith,R,0.5945,R,1.0,1.0,1.0
15,sldu:15B,Tom Willis,R,0.4598,R,1.0,1.0,1.0
16,sldu:16B,Patricia Rucker,R,0.2366,R,1.0,1.0,1.0
17,sldu:17B,Anne Charnock,R,0.2127,R,0.1238,0.1238,0.9323
